 
t,x,y,r,vx,vy,v,ax,ay,a,step,frame,px,p,pixelx,pixely
3.333333E-1,2.258246E-2,2.658879E-1,2.668451E-1,1.212925E-1,-4.410636E-2,1.290629E-1,3.780546E-1,-1.512218E0,1.558759E0,4.000000E1,4.000000E1,1.212925E-1,1.290629E-1,9.950000E1,1.173333E2
3.416667E-1,2.368512E-2,2.655203E-1,2.665746E-1,1.212925E-1,-5.513296E-2,1.332348E-1,3.402491E0,-1.134164E0,3.586540E0,4.100000E1,4.100000E1,1.212925E-1,1.332348E-1,1.000000E2,1.175000E2
3.500000E-1,2.460400E-2,2.649690E-1,2.661088E-1,1.653989E-1,-6.615955E-2,1.781400E-1,3.780546E-1,-7.561091E-1,8.453557E-1,4.200000E1,4.200000E1,1.653989E-1,1.781400E-1,1.004167E2,1.177500E2
3.583333E-1,2.644177E-2,2.644177E-1,2.657365E-1,1.543723E-1,-6.615955E-2,1.679520E-1,7.561091E-1,7.561091E-1,1.069300E0,4.300000E1,4.300000E1,1.543723E-1,1.679520E-1,1.012500E2,1.180000E2
3.666667E-1,2.717687E-2,2.638663E-1,2.652622E-1,1.433457E-1,-5.513296E-2,1.535826E-1,-3.402491E0,3.780546E-1,3.423430E0,4.400000E1,4.400000E1,1.433457E-1,1.535826E-1,1.015833E2,1.182500E2
3.750000E-1,2.883086E-2,2.634988E-1,2.650714E-1,1.323191E-1,-5.513296E-2,1.433457E-1,-3.024436E0,-1.890273E0,3.566560E0,4.500000E1,4.500000E1,1.323191E-1,1.433457E-1,1.023333E2,1.184167E2
3.833333E-1,2.938219E-2,2.629474E-1,2.645840E-1,6.615955E-2,-8.821273E-2,1.102659E-1,-3.024436E0,-7.561091E-1,3.117518E0,4.600000E1,4.600000E1,6.615955E-2,1.102659E-1,1.025833E2,1.186667E2
3.916667E-1,2.993352E-2,2.620286E-1,2.637328E-1,8.821273E-2,-7.718614E-2,1.172143E-1,5.292764E0,1.890273E0,5.620185E0,4.700000E1,4.700000E1,8.821273E-2,1.172143E-1,1.028333E2,1.190833E2
4.000000E-1,3.085240E-2,2.616610E-1,2.634736E-1,1.543723E-1,-4.410636E-2,1.605496E-1,2.268327E0,2.268327E0,3.207899E0,4.800000E1,4.800000E1,1.543723E-1,1.605496E-1,1.032500E2,1.192500E2
4.083333E-1,3.250639E-2,2.612935E-1,2.633077E-1,1.433457E-1,-4.410636E-2,1.499779E-1,-1.134164E0,-7.561091E-1,1.363095E0,4.900000E1,4.900000E1,1.433457E-1,1.499779E-1,1.040000E2,1.194167E2
4.166667E-1,3.324150E-2,2.609259E-1,2.630348E-1,1.102659E-1,-5.513296E-2,1.232810E-1,4.536655E0,-3.780546E-1,4.552380E0,5.000000E1,5.000000E1,1.102659E-1,1.232810E-1,1.043333E2,1.195833E2
4.250000E-1,3.434416E-2,2.603746E-1,2.626299E-1,2.205318E-1,-5.513296E-2,2.273190E-1,3.024436E0,-3.780546E-1,3.047973E0,5.100000E1,5.100000E1,2.205318E-1,2.273190E-1,1.048333E2,1.198333E2
