"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.761096880E-1,-1.220339537E-1,-6.788437843E0,7.020541668E0
5.785206770E-1,-1.435693651E-1,-6.800402164E0,7.020541668E0
5.809316150E-1,-1.316052526E-1,-6.824330330E0,7.020541668E0
5.833425520E-1,-1.411765367E-1,-6.833901405E0,7.022934437E0
5.857534900E-1,-1.268195957E-1,-6.836294174E0,7.006184578E0
5.881644270E-1,-1.124626622E-1,-6.843472958E0,7.008577347E0
5.905753650E-1,-1.148554832E-1,-6.853044033E0,7.003791809E0
5.929863020E-1,-1.196411327E-1,-6.855436802E0,7.006184578E0
5.953972400E-1,-1.196411327E-1,-6.860222340E0,7.001399040E0
5.978081770E-1,-1.268195957E-1,-6.888936520E0,7.008577347E0
6.002191150E-1,-1.244267747E-1,-6.905686378E0,7.008577347E0
6.026300520E-1,-1.411765367E-1,-6.891329288E0,7.022934437E0
6.050409900E-1,-1.411765367E-1,-6.893722057E0,7.025327206E0
6.074519270E-1,-1.507478207E-1,-6.888936520E0,7.013363361E0
6.098629170E-1,-1.651047617E-1,-6.900900364E0,7.001399040E0
6.122738540E-1,-1.627119333E-1,-6.910471916E0,6.996613503E0
6.146847920E-1,-1.842473447E-1,-6.908079147E0,6.970292568E0
6.170957290E-1,-1.962114573E-1,-6.896114826E0,6.963113785E0
6.195066670E-1,-2.129612118E-1,-6.905686378E0,6.946363926E0
6.219176040E-1,-2.081755698E-1,-6.905686378E0,6.929614544E0
6.243285420E-1,-2.249253243E-1,-6.905686378E0,6.929614544E0
6.267394790E-1,-2.249253243E-1,-6.903293133E0,6.927221775E0
6.291504170E-1,-2.297109663E-1,-6.910471916E0,6.924828529E0
6.315613540E-1,-2.225325108E-1,-6.903293133E0,6.946363926E0
6.339722920E-1,-2.009970993E-1,-6.908079147E0,6.955935478E0
6.363832820E-1,-2.009970993E-1,-6.910471916E0,6.955935478E0
6.387941670E-1,-1.890329868E-1,-6.922435760E0,6.958328247E0
6.412051570E-1,-1.866401732E-1,-6.941578388E0,6.979863644E0
6.436160940E-1,-1.746760458E-1,-6.946363926E0,6.984649181E0
6.460270320E-1,-1.603191197E-1,-6.963113785E0,7.001399040E0
6.484379690E-1,-1.531406492E-1,-6.958328247E0,7.001399040E0
6.508489070E-1,-1.459621787E-1,-6.970292568E0,7.010970116E0
6.532598440E-1,-1.459621787E-1,-6.967899323E0,7.025327206E0
6.556707820E-1,-1.459621787E-1,-6.982256413E0,7.039684296E0
6.580817190E-1,-1.387837082E-1,-6.977470875E0,7.039684296E0
6.604926570E-1,-1.172483116E-1,-6.965506554E0,7.039684296E0
6.629035940E-1,-1.196411327E-1,-6.989434719E0,7.032505512E0
6.653145840E-1,-1.124626622E-1,-6.977470875E0,7.027719975E0
6.677255210E-1,-1.196411327E-1,-6.975078106E0,7.013363361E0
6.701364590E-1,-1.148554832E-1,-6.975078106E0,6.987041950E0
6.725473960E-1,-1.220339537E-1,-6.960721016E0,6.979863644E0
6.749583340E-1,-1.148554832E-1,-6.951149940E0,6.977470875E0
6.773692710E-1,-9.092725813E-2,-6.955935478E0,6.972685337E0
6.797802090E-1,-8.853443712E-2,-6.951149940E0,6.967899323E0
6.821911460E-1,-1.028913707E-1,-6.984649181E0,6.965506554E0
6.846020840E-1,-1.196411327E-1,-6.963113785E0,6.958328247E0
6.870130210E-1,-1.268195957E-1,-6.979863644E0,6.967899323E0
