"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.463864640E-1,2.145662531E-2,4.528035223E-2,1.397353224E-2
3.487974020E-1,1.534797717E-2,4.589121789E-2,1.275180187E-2
3.512083910E-1,6.185005885E-3,4.528035223E-2,1.153007243E-2
3.536193810E-1,-2.367100911E-3,4.466948658E-2,1.091920771E-2
3.560303180E-1,-1.091920771E-2,4.344775900E-2,1.091920771E-2
3.584413080E-1,-2.191477455E-2,4.344775900E-2,1.030834299E-2
3.608522460E-1,-3.168861195E-2,4.283689335E-2,8.475748822E-3
3.632632350E-1,-4.146244749E-2,4.100430012E-2,6.032289471E-3
3.656742250E-1,-5.001455545E-2,3.672824427E-2,3.588830587E-3
3.680851620E-1,-6.101011857E-2,3.306305781E-2,2.977965865E-3
3.704961520E-1,-7.261654735E-2,2.634354308E-2,5.345066893E-4
3.729071410E-1,-8.239039034E-2,2.023489587E-2,-1.298087649E-3
3.753180790E-1,-9.277509153E-2,1.351538301E-2,-3.741546767E-3
3.777290680E-1,-1.007163301E-1,6.795870606E-3,-4.963276442E-3
3.801400580E-1,-1.098793000E-1,1.908952487E-3,-7.406735327E-3
3.825509960E-1,-1.159879491E-1,-2.367100911E-3,-8.628465235E-3
3.849619850E-1,-1.202640012E-1,-5.421424750E-3,-9.239329956E-3
3.873729750E-1,-1.245400533E-1,-8.475748822E-3,-8.017600514E-3
3.897839120E-1,-1.263726503E-1,-1.153007243E-2,-7.406735327E-3
3.921949020E-1,-1.294269711E-1,-1.214093715E-2,-8.628465235E-3
3.946058910E-1,-1.294269711E-1,-1.091920771E-2,-1.046105940E-2
3.970168290E-1,-1.288161129E-1,-9.697478265E-3,-1.290451828E-2
3.994278180E-1,-1.282052398E-1,-6.032289471E-3,-1.473711245E-2
4.018388080E-1,-1.269835234E-1,-1.145371469E-3,-1.901316643E-2
4.042497460E-1,-1.251509190E-1,2.519817324E-3,-2.328922041E-2
4.066607350E-1,-1.227074638E-1,4.963276442E-3,-2.573267929E-2
4.090717250E-1,-1.214857325E-1,8.017600514E-3,-2.939786762E-2
4.114826620E-1,-1.190422773E-1,1.107192412E-2,-3.306305781E-2
4.138936520E-1,-1.141553521E-1,1.412624773E-2,-3.550651670E-2
4.163046410E-1,-1.111010313E-1,1.412624773E-2,-3.672824427E-2
4.187155790E-1,-1.031597927E-1,1.473711245E-2,-3.733910993E-2
4.211265680E-1,-9.705114365E-2,1.534797717E-2,-3.733910993E-2
4.235375060E-1,-8.972076327E-2,1.656970754E-2,-3.611737862E-2
4.259484960E-1,-8.116865903E-2,1.473711245E-2,-3.550651670E-2
4.283594850E-1,-7.200568914E-2,1.290451828E-2,-3.428478539E-2
4.307704230E-1,-6.345357746E-2,1.168278884E-2,-3.306305781E-2
4.331814120E-1,-5.551233515E-2,9.850194678E-3,-3.306305781E-2
4.355924020E-1,-4.757109284E-2,8.628465235E-3,-3.306305781E-2
4.380033390E-1,-4.085158184E-2,4.352411721E-3,-3.489565104E-2
4.404143290E-1,-3.413207084E-2,2.519817324E-3,-3.428478539E-2
4.428253180E-1,-3.107774630E-2,-2.977965865E-3,-3.489565104E-2
4.452362560E-1,-2.496909723E-2,-8.475748822E-3,-3.672824427E-2
4.476472460E-1,-2.191477455E-2,-1.336266659E-2,-3.733910993E-2
4.500582350E-1,-1.763872057E-2,-1.763872057E-2,-3.794997558E-2
4.524691730E-1,-1.886045001E-2,-2.313650399E-2,-3.794997558E-2
4.548801620E-1,-1.824958436E-2,-2.619082667E-2,-3.733910993E-2
4.572911000E-1,-1.886045001E-2,-2.863428742E-2,-3.611737862E-2
4.597020890E-1,-1.947131567E-2,-2.985601686E-2,-3.489565104E-2
4.621130790E-1,-1.763872057E-2,-2.802342176E-2,-3.306305781E-2
4.645240680E-1,-2.008217946E-2,-2.985601686E-2,-3.061959706E-2
4.669350060E-1,-2.130390890E-2,-2.741255611E-2,-2.756527252E-2
4.693459960E-1,-2.496909723E-2,-2.680169232E-2,-2.451094985E-2
4.717569330E-1,-2.802342176E-2,-2.374736778E-2,-2.023489587E-2
4.741679230E-1,-3.046688065E-2,-2.008217946E-2,-1.901316643E-2
4.765789120E-1,-3.413207084E-2,-1.763872057E-2,-1.534797717E-2
4.789898500E-1,-3.840812296E-2,-1.641699113E-2,-1.412624773E-2
4.814008390E-1,-4.146244749E-2,-1.275180187E-2,-1.168278884E-2
4.838118290E-1,-4.573849961E-2,-9.697478265E-3,-9.239329956E-3
4.862228180E-1,-4.940368980E-2,-6.643154658E-3,-7.406735327E-3
4.886337560E-1,-5.551233515E-2,-5.421424750E-3,-8.017600514E-3
4.910447460E-1,-6.039925665E-2,-3.588830587E-3,-6.185005885E-3
4.934556830E-1,-6.345357746E-2,7.635809743E-5,-3.130682046E-3
4.958666730E-1,-6.895136088E-2,2.519817324E-3,-1.298087649E-3
4.982776620E-1,-7.139482349E-2,6.795870606E-3,-1.298087649E-3
5.006886000E-1,-7.444914430E-2,1.046105940E-2,-6.872228696E-4
5.030995890E-1,-7.750347257E-2,1.473711245E-2,5.345066893E-4
5.055105790E-1,-8.116865903E-2,1.962403022E-2,1.145371469E-3
5.079215160E-1,-8.239039034E-2,2.390008420E-2,3.588830587E-3
5.103325060E-1,-8.300124854E-2,2.817613818E-2,2.977965865E-3
5.127434960E-1,-8.239039034E-2,3.000873141E-2,5.421424750E-3
5.151544330E-1,-8.361211419E-2,3.061959706E-2,7.864884101E-3
5.175654230E-1,-8.300124854E-2,3.245219216E-2,1.030834299E-2
5.199764120E-1,-8.300124854E-2,3.184132650E-2,1.091920771E-2
5.223873500E-1,-8.116865903E-2,3.000873141E-2,1.336266659E-2
5.247983390E-1,-7.872519642E-2,2.878700197E-2,1.397353224E-2
5.272093290E-1,-7.628174126E-2,2.451094985E-2,1.397353224E-2
5.296202660E-1,-7.261654735E-2,2.084576152E-2,1.458439697E-2
5.320312560E-1,-6.895136088E-2,1.534797717E-2,1.397353224E-2
5.344422460E-1,-6.345357746E-2,1.046105940E-2,1.214093715E-2
5.368531830E-1,-5.734493211E-2,5.574141163E-3,1.214093715E-2
5.392641730E-1,-5.245801434E-2,6.872228696E-4,1.153007243E-2
5.416751620E-1,-4.634936526E-2,-5.421424750E-3,9.086613543E-3
5.440861000E-1,-4.146244749E-2,-1.091920771E-2,9.086613543E-3
5.464970890E-1,-3.535379842E-2,-1.275180187E-2,8.475748822E-3
5.489080270E-1,-2.741255611E-2,-1.458439697E-2,8.475748822E-3
5.513190160E-1,-2.252563834E-2,-1.702785492E-2,8.475748822E-3
5.537300060E-1,-1.641699113E-2,-1.886045001E-2,9.086613543E-3
5.561409430E-1,-1.091920771E-2,-1.763872057E-2,8.475748822E-3
5.585519330E-1,-7.254019380E-3,-2.130390890E-2,7.864884101E-3
5.609629230E-1,-2.977965865E-3,-2.374736778E-2,8.475748822E-3
5.633738600E-1,1.908952487E-3,-2.557996288E-2,7.864884101E-3
5.657848500E-1,6.795870606E-3,-2.619082667E-2,7.864884101E-3
5.681958390E-1,1.168278884E-2,-2.680169232E-2,8.475748822E-3
5.706067770E-1,1.534797717E-2,-2.924515121E-2,7.864884101E-3
5.730177660E-1,2.267835476E-2,-2.985601686E-2,7.864884101E-3
5.754287560E-1,2.634354308E-2,-3.291033953E-2,8.475748822E-3
5.778396930E-1,2.878700197E-2,-3.413207084E-2,7.254019380E-3
5.802506830E-1,3.428478539E-2,-3.168861195E-2,8.475748822E-3
5.826616730E-1,3.733910993E-2,-3.168861195E-2,9.086613543E-3
5.850726100E-1,3.917170316E-2,-2.924515121E-2,9.086613543E-3
5.874836000E-1,3.978256881E-2,-2.741255611E-2,1.030834299E-2
5.898945890E-1,3.978256881E-2,-2.313650399E-2,1.030834299E-2
5.923055270E-1,3.733910993E-2,-2.069304511E-2,1.336266659E-2
5.947165160E-1,3.611737862E-2,-1.580612548E-2,1.336266659E-2
5.971275060E-1,3.306305781E-2,-9.086613543E-3,1.519526169E-2
5.995384430E-1,2.878700197E-2,-5.345066893E-4,1.824958436E-2
6.019494330E-1,2.390008420E-2,6.795870606E-3,2.069304511E-2
6.043603710E-1,1.962403022E-2,1.534797717E-2,2.130390890E-2
6.067713600E-1,1.595884189E-2,2.328922041E-2,2.130390890E-2
6.091823500E-1,1.107192412E-2,3.184132650E-2,2.252563834E-2
6.115933390E-1,6.795870606E-3,3.550651670E-2,2.435823344E-2
6.140042770E-1,3.741546767E-3,3.917170316E-2,2.557996288E-2
6.164152660E-1,6.872228696E-4,3.978256881E-2,2.435823344E-2
6.188262040E-1,-6.643154658E-3,3.550651670E-2,2.252563834E-2
6.212371930E-1,-9.697478265E-3,3.184132650E-2,2.191477455E-2
6.236481830E-1,-1.214093715E-2,2.390008420E-2,2.130390890E-2
6.260591210E-1,-1.336266659E-2,1.595884189E-2,2.008217946E-2
6.284701100E-1,-1.580612548E-2,5.574141163E-3,1.947131567E-2
6.308811000E-1,-1.824958436E-2,-2.367100911E-3,1.886045001E-2
6.332920370E-1,-1.947131567E-2,-9.697478265E-3,1.763872057E-2
6.357030270E-1,-2.130390890E-2,-1.580612548E-2,1.763872057E-2
6.381140160E-1,-2.191477455E-2,-2.130390890E-2,1.641699113E-2
6.405249540E-1,-2.191477455E-2,-2.374736778E-2,1.458439697E-2
6.429359430E-1,-2.313650399E-2,-2.619082667E-2,1.458439697E-2
6.453469330E-1,-2.191477455E-2,-2.680169232E-2,1.397353224E-2
6.477578710E-1,-1.824958436E-2,-2.496909723E-2,1.275180187E-2
6.501688600E-1,-1.580612548E-2,-2.191477455E-2,1.214093715E-2
6.525798500E-1,-1.275180187E-2,-2.008217946E-2,1.336266659E-2
6.549907870E-1,-8.475748822E-3,-1.763872057E-2,1.397353224E-2
6.574017770E-1,-2.367100911E-3,-1.397353224E-2,1.519526169E-2
